Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
25-08-2020,TCS,2248.1,2245,2250,2233.55,2242,2242.65,2242.51,1663454,3.7303E+14,65398,636403,
26-08-2020,TCS,2242.65,2242,2259.9,2216.45,2257,2253.5,2237.68,2618159,5.85859E+14,100248,954842,0.3647
27-08-2020,TCS,2253.5,2266,2287.35,2241.75,2250,2248.4,2265.38,3579397,8.10869E+14,113510,1234036,0.3448
28-08-2020,TCS,2248.4,2268.4,,2235.1,2238.25,2238.55,2248.99,2941156,6.61462E+14,100143,,0.4623
31-08-2020,TCS,,,2276.2,,2245.95,2257.25,2252.44,,1.35555E+15,182980,2955109,0.491
01-09-2020,TCS,2257.25,2269,2278,2241.3,2250,2246.35,2258.27,3610908,8.1544E+14,122003,1581545,0.438
02-09-2020,TCS,2246.35,2247,2268.75,2241.65,2263.75,2265.15,2257.34,2084152,4.70464E+14,89121,1004535,0.482
03-09-2020,TCS,2265.15,2268,2324,,2299,,2301.29,4654146,1.07105E+15,170993,1233359,0.265
04-09-2020,TCS,2299.5,2275,2324.25,2262.95,2297.65,2288.8,2295.35,5232180,1.20097E+15,177219,2085700,0.3986
07-09-2020,TCS,,2289,2343.5,2283.35,2330,2327.05,2319.63,4620416,1.07177E+15,157714,1077421,
08-09-2020,TCS,,2335.95,2390.45,2327.05,2343.95,2348.2,,7454161,1.76354E+15,233593,1535823,0.206
09-09-2020,TCS,2348.2,2325,2359,2320,2322,2327.65,2336.59,3866542,9.03453E+14,114778,1379634,0.3568
10-09-2020,TCS,2327.65,2335,2348.5,2324.3,2329.1,2331.15,2334.85,2308813,5.39073E+14,,860606,
11-09-2020,TCS,,2330.95,2383,2330.15,2370.3,2374.1,2367.47,4145429,9.81418E+14,161900,1407826,
14-09-2020,TCS,2374.1,2384.1,,2381.85,,,2447.42,7512284,1.83857E+15,259748,2210359,
15-09-2020,TCS,2491.4,2491.4,2538,2464.6,2489,2491.4,,7318773,1.83174E+15,229851,1906819,0.2605
16-09-2020,TCS,2491.4,,2507.6,2477.3,2502,2503,2492.52,3074013,7.66205E+14,126981,1151748,
17-09-2020,TCS,2503,2480,2495.75,2450.6,2466.05,,2473.58,4828231,1.1943E+15,162667,2534877,0.525
18-09-2020,TCS,2460.95,,2500.4,2436.4,2457.5,2449.9,,4183256,,132358,2251126,0.5381
,TCS,2449.9,2465,2504.9,2452.15,2467,2465.3,2484.95,4598809,1.14278E+15,182859,1287735,0.28
